model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,cycle_size,max_lr,hp_combination,finished_at
bert-gvp,0,0.5442,0.561,0.4377,0.716,0.8952,0.5039,-4.0,40,0.003,0,2024-10-15 18:45:10
bert-gvp,0,0.5253,0.5186,0.411,0.7121,0.9008,0.5047,-5.0,40,0.001,1,2024-10-15 19:05:25
bert-gvp,0,0.489,0.4868,0.3665,0.6958,0.8769,0.4855,-2.0,20,0.003,2,2024-10-15 19:15:47
bert-gvp,0,0.5455,0.5785,0.4392,0.7167,0.9147,0.5358,-5.0,20,0.001,3,2024-10-15 19:26:05
bert-gvp,0,0.464,0.4758,0.4955,0.482,0.8969,0.4301,-1.8,10,0.003,4,2024-10-15 19:31:29
bert-gvp,0,0.5458,0.5499,0.4599,0.6874,0.9032,0.5372,-0.6,10,0.001,5,2024-10-15 19:36:53
bert-gvp,1,0.548,0.5629,0.4748,0.6723,0.9084,0.4805,-4.6,40,0.003,0,2024-10-15 19:57:04
bert-gvp,1,0.5598,0.5708,0.4466,0.7396,0.9026,0.502,-2.8,40,0.001,1,2024-10-15 20:17:22
bert-gvp,1,0.5242,0.5295,0.4822,0.6121,0.9089,0.4828,-4.0,20,0.003,2,2024-10-15 20:27:47
bert-gvp,1,0.5586,0.5836,0.4807,0.6879,0.9218,0.5071,-4.8,20,0.001,3,2024-10-15 20:38:10
bert-gvp,1,0.4838,0.4813,0.3531,0.7062,0.907,0.4546,-0.4,10,0.003,4,2024-10-15 20:43:35
bert-gvp,1,0.5664,0.5848,0.5074,0.6706,0.9287,0.4987,-2.4,10,0.001,5,2024-10-15 20:49:01
bert-gvp,2,0.5094,0.5118,0.3961,0.6971,0.8957,0.4696,-3.2,40,0.003,0,2024-10-15 21:09:12
bert-gvp,2,0.5315,0.5506,0.4377,0.686,0.908,0.4567,-4.8,40,0.001,1,2024-10-15 21:29:26
bert-gvp,2,0.4992,0.5059,0.3976,0.67,0.8536,0.4681,-1.8,20,0.003,2,2024-10-15 21:39:46
bert-gvp,2,0.5339,0.5659,0.5148,0.5952,0.9219,0.4899,-3.6,20,0.001,3,2024-10-15 21:50:13
bert-gvp,2,0.498,0.4523,0.4154,0.6407,0.9,0.4337,-1.2,10,0.003,4,2024-10-15 21:55:36
bert-gvp,2,0.5363,0.5621,0.454,0.674,0.92,0.4937,-1.4,10,0.001,5,2024-10-15 22:01:06
bert-gvp,3,0.5272,0.5355,0.4614,0.6439,0.888,0.5285,-4.4,40,0.003,0,2024-10-15 22:21:23
bert-gvp,3,0.5286,0.5153,0.4139,0.7154,0.8707,0.5155,-4.8,40,0.001,1,2024-10-15 22:41:51
bert-gvp,3,0.4904,0.5044,0.4273,0.6076,0.8933,0.5342,-4.6,20,0.003,2,2024-10-15 22:52:13
bert-gvp,3,0.5346,0.5494,0.4496,0.6763,0.9147,0.555,-4.8,20,0.001,3,2024-10-15 23:02:36
bert-gvp,3,0.4655,0.4762,0.4555,0.523,0.8947,0.5184,-2.2,10,0.003,4,2024-10-15 23:08:02
bert-gvp,3,0.5122,0.5339,0.4659,0.6062,0.9152,0.5385,-1.0,10,0.001,5,2024-10-15 23:13:26
bert-gvp,4,0.4922,0.5078,0.3872,0.6692,0.8811,0.5021,-4.6,40,0.003,0,2024-10-15 23:33:36
bert-gvp,4,0.5376,0.5349,0.4941,0.6259,0.8952,0.543,-4.8,40,0.001,1,2024-10-15 23:53:55
bert-gvp,4,0.5204,0.534,0.4822,0.6041,0.8796,0.5321,-4.2,20,0.003,2,2024-10-16 00:04:16
bert-gvp,4,0.5161,0.5384,0.4659,0.6145,0.9038,0.5218,-1.4,20,0.001,3,2024-10-16 00:14:35
bert-gvp,4,0.4651,0.4338,0.3323,0.6957,0.8857,0.4714,0.0,10,0.003,4,2024-10-16 00:19:59
bert-gvp,4,0.519,0.5125,0.3783,0.7522,0.9015,0.5042,0.2,10,0.001,5,2024-10-16 00:25:23
