model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,micro_auroc,valid_mcc,best_threshold,cycle_size,hp_combination,finished_at
gvp,0,0.4953,0.5283,0.3709,0.7042,0.8693,0.5189,0.0,50,0,2024-10-08 21:47:01
gvp,0,0.3258,0.3356,0.3042,0.4076,0.8285,0.3364,-1.6,20,0,2024-10-17 00:23:06
gvp,0,0.4859,0.4682,0.3605,0.6983,0.8105,0.5324,0.0,100,2,2024-10-17 00:47:31
gvp,1,0.4191,0.4181,0.3947,0.4963,0.8689,0.3415,-1.4,20,0,2024-10-17 00:52:41
gvp,1,0.5171,0.552,0.4318,0.6614,0.8851,0.4695,-1.0,50,1,2024-10-17 01:05:10
gvp,1,0.5429,0.5063,0.4421,0.7062,0.7604,0.4868,-0.8,100,2,2024-10-17 01:30:01
gvp,2,0.3762,0.3972,0.3798,0.4274,0.856,0.3569,-1.6,20,0,2024-10-17 01:35:15
gvp,2,0.5069,0.5167,0.4318,0.6382,0.8831,0.4822,-0.4,50,1,2024-10-17 01:47:54
gvp,2,0.4988,0.5043,0.4065,0.6555,0.8483,0.4686,2.2,100,2,2024-10-17 02:13:01
gvp,3,0.3927,0.3774,0.4481,0.3974,0.8535,0.3263,-2.0,20,0,2024-10-17 02:18:19
gvp,3,0.4568,0.4708,0.3694,0.6118,0.8729,0.4824,-0.8,50,1,2024-10-17 02:31:05
gvp,3,0.5005,0.48,0.3991,0.6708,0.8183,0.5087,0.4,100,2,2024-10-17 02:56:20
gvp,4,0.3724,0.3737,0.2582,0.5898,0.8428,0.3481,-1.0,20,0,2024-10-17 03:01:36
gvp,4,0.5439,0.5678,0.4852,0.6501,0.886,0.5097,-1.2,50,1,2024-10-17 03:14:22
gvp,4,0.5157,0.4595,0.4347,0.654,0.7804,0.4892,-2.2,100,2,2024-10-17 03:39:42
