model_key,valid_fold,mcc,micro_auprc,sensitivity,precision,valid_mcc,best_threshold,finished_at
esm-t33,0,0.7646,0.8364,0.6667,0.9091,0.9076,-1.5,2024-06-09 23:31:22
esm-t33,1,0.7845,0.8582,0.8,0.8,0.9406,-3.0,2024-06-09 23:31:34
esm-t33,2,0.7438,0.8442,0.65,0.8864,0.9033,-0.9,2024-06-09 23:31:47
esm-t33,3,0.768,0.8418,0.7,0.875,0.7086,0.4,2024-06-09 23:31:59
esm-t33,4,0.755,0.8281,0.6667,0.8889,0.6968,-0.4,2024-06-09 23:32:12
esm-t33-pretrained,0,0.7368,0.8178,0.6667,0.8511,0.9076,0.6,2024-06-09 23:32:25
esm-t33-pretrained,1,0.7661,0.8229,0.6833,0.8913,0.9376,-1.5,2024-06-09 23:32:38
esm-t33-pretrained,2,0.7192,0.8149,0.6,0.9,0.9033,0.6,2024-06-09 23:32:51
esm-t33-pretrained,3,0.718,0.8672,0.5833,0.9211,0.8013,1.0,2024-06-09 23:33:05
esm-t33-pretrained,4,0.7592,0.8153,0.7,0.8571,0.7039,-3.0,2024-06-09 23:33:18
esm-t33-gearnet,0,0.617,0.6677,0.6333,0.6552,0.7895,-0.7,2024-06-09 23:33:35
esm-t33-gearnet,1,0.6318,0.6682,0.5667,0.7556,0.8281,0.3,2024-06-09 23:33:52
esm-t33-gearnet,2,0.6683,0.7074,0.6167,0.7708,0.8066,-2.7,2024-06-09 23:34:09
esm-t33-gearnet,3,0.7918,0.8819,0.75,0.8654,0.8766,0.4,2024-06-09 23:34:26
esm-t33-gearnet,4,0.6633,0.7898,0.7167,0.6615,0.7287,-2.0,2024-06-09 23:34:44
esm-t33-gearnet-pretrained,0,0.7879,0.8071,0.7167,0.8958,0.9215,-2.4,2024-06-09 23:35:01
esm-t33-gearnet-pretrained,1,0.7596,0.821,0.75,0.8036,0.9376,-3.0,2024-06-09 23:35:19
esm-t33-gearnet-pretrained,2,0.7308,0.803,0.6167,0.9024,0.9511,0.6,2024-06-09 23:35:37
esm-t33-gearnet-pretrained,3,0.8068,0.8923,0.7167,0.9348,0.8013,-0.2,2024-06-09 23:35:56
esm-t33-gearnet-pretrained,4,0.7661,0.8235,0.6833,0.8913,0.7247,-3.0,2024-06-09 23:36:14
esm-t33-gearnet-pretrained-ensemble,0,0.7879,0.8071,0.7167,0.8958,0.9215,-2.4,2024-06-10 02:23:06
esm-t33-gearnet-pretrained-ensemble,1,0.7596,0.8198,0.75,0.8036,0.9376,-3.0,2024-06-10 02:26:12
esm-t33-gearnet-pretrained-ensemble,2,0.7422,0.7896,0.6333,0.9048,0.9355,0.2,2024-06-10 02:29:18
esm-t33-gearnet-pretrained-ensemble,3,0.8173,0.8975,0.7333,0.9362,0.8139,-0.9,2024-06-10 02:32:30
esm-t33-gearnet-pretrained-ensemble,4,0.7661,0.8214,0.6833,0.8913,0.7247,-3.0,2024-06-10 02:35:41
esm-t33-gearnet-pretrained-adaboost-r10,0,0.723,0.7589,0.6333,0.8636,0.9182,-0.6,2024-06-10 17:14:51
esm-t33-gearnet-pretrained-adaboost-r10,1,0.6688,0.7567,0.7333,0.6567,0.9376,-0.3,2024-06-10 17:18:00
esm-t33-gearnet-pretrained-adaboost-r10,2,0.6529,0.6825,0.6167,0.74,0.698,0.9,2024-06-10 17:21:09
esm-t33-gearnet-pretrained-adaboost-r10,3,0.8484,0.8944,0.7833,0.94,0.8395,-0.6,2024-06-10 17:24:27
esm-t33-gearnet-pretrained-adaboost-r10,4,0.7617,0.8179,0.7167,0.8431,0.7247,-0.8,2024-06-10 17:27:46
esm-t33-gearnet-pretrained-resiboost-r10,0,0.7486,0.8367,0.7333,0.8,0.8815,0.9,2024-06-10 17:30:57
esm-t33-gearnet-pretrained-resiboost-r10,1,0.7878,0.8607,0.8167,0.7903,0.9523,-0.4,2024-06-10 17:34:05
esm-t33-gearnet-pretrained-resiboost-r10,2,0.7771,0.8591,0.7,0.8936,0.9524,0.5,2024-06-10 17:37:12
esm-t33-gearnet-pretrained-resiboost-r10,3,0.8338,0.8873,0.8167,0.875,0.7671,0.5,2024-06-10 17:40:26
esm-t33-gearnet-pretrained-resiboost-r10,4,0.7673,0.8007,0.75,0.8182,0.7287,-0.5,2024-06-10 17:43:40
esm-t33-gearnet-adaboost-r10,0,0.5646,0.5502,0.5,0.6977,0.806,0.8,2024-06-10 23:39:59
esm-t33-gearnet-adaboost-r10,1,0.6148,0.6772,0.5333,0.7619,0.8651,0.0,2024-06-10 23:43:00
esm-t33-gearnet-adaboost-r10,2,0.5565,0.6372,0.5833,0.5932,0.7013,0.0,2024-06-10 23:46:02
esm-t33-gearnet-adaboost-r10,3,0.7646,0.8308,0.6667,0.9091,0.8395,-0.1,2024-06-10 23:49:10
esm-t33-gearnet-adaboost-r10,4,0.7082,0.7879,0.7167,0.7414,0.6715,-0.6,2024-06-10 23:52:20
esm-t33-gearnet-resiboost-r10,0,0.6685,0.7908,0.8333,0.5814,0.7671,0.9,2024-06-10 23:55:23
esm-t33-gearnet-resiboost-r10,1,0.7357,0.8187,0.8167,0.7,0.9523,0.6,2024-06-10 23:58:25
esm-t33-gearnet-resiboost-r10,2,0.724,0.82,0.8833,0.631,0.8972,0.6,2024-06-11 00:01:26
esm-t33-gearnet-resiboost-r10,3,0.8122,0.8691,0.8667,0.7879,0.7671,0.8,2024-06-11 00:04:35
esm-t33-gearnet-resiboost-r10,4,0.7617,0.7783,0.7167,0.8431,0.6968,0.7,2024-06-11 00:07:45
